sport,prop_type,prop_line,player_id,player_name,team,opponent,game_date,location,is_primetime,is_back_to_back,is_divisional,injury_status,weather_conditions,defensive_rank_against,player_avg_last_3,player_avg_last_5,player_avg_season,line_delta,prop_odds,market_movement,actual_result,actual_value,temperature,rest_days,is_playoff
nba,blocks_over,0.6,jayson_tatum,Jayson Tatum,Boston Celtics,Denver Nuggets,2025-01-18,home,True,False,False,healthy,indoor,22,0.6,-0.5,1.3,-0.7,2.0036230641385053,down,0,-3.6,,1,False
nba,threes_over,7.1,lebron_james,LeBron James,Los Angeles Lakers,Milwaukee Bucks,2024-10-25,away,False,True,False,questionable,indoor,8,6.9,5.9,7.2,-0.1,1.9587310235066102,down,0,2.4,,0,False
nba,rebounds_over,10.2,giannis_antetokounmpo,Giannis Antetokounmpo,Milwaukee Bucks,Los Angeles Lakers,2025-07-03,home,False,False,False,healthy,indoor,2,11.1,7.6,8.7,1.5,1.8410056169513862,up,0,6.3,,1,False
nba,rebounds_under,7.4,jayson_tatum,Jayson Tatum,Boston Celtics,Philadelphia 76ers,2024-11-26,home,False,False,False,healthy,indoor,30,7.2,10.4,9.4,-2.0,2.0653093668405744,up,1,3.9,,1,False
nba,steals_over,3.2,nikola_jokic,Nikola Jokic,Denver Nuggets,Philadelphia 76ers,2025-02-27,home,False,True,False,healthy,indoor,15,3.0,4.0,3.5,-0.3,1.992402039854634,down,0,-2.2,,0,False
nba,rebounds_under,7.6,lebron_james,LeBron James,Los Angeles Lakers,Denver Nuggets,2025-04-07,home,True,True,False,healthy,indoor,29,3.6,4.4,5.6,2.0,1.854464484737008,up,1,7.1,,0,False
nba,points_under,17.5,jayson_tatum,Jayson Tatum,Boston Celtics,Dallas Mavericks,2025-06-16,away,False,False,False,healthy,indoor,20,14.8,16.0,17.7,-0.2,2.180427123020479,up,1,20.4,,1,False
nba,threes_over,5.2,jayson_tatum,Jayson Tatum,Boston Celtics,Phoenix Suns,2025-06-18,away,False,False,False,healthy,indoor,23,3.1,5.3,4.3,0.9,1.959203361490219,stable,1,0.5,,1,False
nba,threes_over,7.3,luka_doncic,Luka Doncic,Dallas Mavericks,Chicago Bulls,2025-01-16,home,False,False,False,healthy,indoor,13,3.9,5.3,6.6,0.7,2.020323485300899,up,1,10.6,,1,False
nba,steals_over,1.2,jayson_tatum,Jayson Tatum,Boston Celtics,Chicago Bulls,2024-12-13,away,False,False,False,healthy,indoor,13,-0.2,2.9,1.8,-0.6,1.8246875190576255,stable,1,-0.9,,1,False
nba,assists_over,11.2,giannis_antetokounmpo,Giannis Antetokounmpo,Milwaukee Bucks,Philadelphia 76ers,2025-01-28,home,False,False,False,healthy,indoor,20,7.3,8.5,9.6,1.6,1.8978207657106816,stable,1,10.6,,1,False
nba,points_under,29.5,jayson_tatum,Jayson Tatum,Boston Celtics,Milwaukee Bucks,2025-01-02,away,False,False,False,healthy,indoor,9,31.7,30.0,30.5,-1.0,2.1103236175220537,down,1,28.6,,1,False
