sport,prop_type,prop_line,player_id,player_name,team,opponent,game_date,location,is_primetime,is_back_to_back,is_divisional,injury_status,weather_conditions,defensive_rank_against,player_avg_last_3,player_avg_last_5,player_avg_season,line_delta,prop_odds,market_movement,actual_result,actual_value,temperature,rest_days,is_playoff
nfl,receptions_over,4.3,cooper_kupp,Cooper Kupp,Los Angeles Rams,Kansas City Chiefs,2025-01-17,home,False,False,True,healthy,rain,17,16.9,8.5,4.4,-0.1,1.9946540234776275,down,0,-24.5,66,7,False
nfl,receiving_yards_under,25.2,cooper_kupp,Cooper Kupp,Los Angeles Rams,Green Bay Packers,2025-03-05,home,False,False,True,healthy,clear,6,20.2,47.4,40.1,-14.9,2.139780698723644,up,0,-18.1,33,7,False
nfl,rushing_yards_over,78.6,derrick_henry,Derrick Henry,Tennessee Titans,Kansas City Chiefs,2025-04-05,home,False,False,False,questionable,wind,21,90.6,70.4,72.8,5.8,2.1779531853972287,up,0,45.0,81,7,False
nfl,passing_yards_under,250.9,patrick_mahomes,Patrick Mahomes,Kansas City Chiefs,Tennessee Titans,2024-08-30,away,False,False,False,questionable,clear,5,244.6,271.6,263.3,-12.4,1.791143655088701,stable,0,259.8,61,7,False
nfl,receptions_over,3.7,cooper_kupp,Cooper Kupp,Los Angeles Rams,Buffalo Bills,2024-12-17,home,True,False,False,questionable,clear,5,4.5,-6.6,4.7,-1.0,2.1300546566484506,stable,0,-16.6,64,7,False
nfl,receiving_yards_over,26.3,cooper_kupp,Cooper Kupp,Los Angeles Rams,Dallas Cowboys,2025-04-21,away,False,False,True,healthy,clear,22,32.1,44.4,36.2,-9.9,1.8141146146744562,up,0,7.2,54,7,True
nfl,rushing_tds_under,1.8,derrick_henry,Derrick Henry,Tennessee Titans,Buffalo Bills,2024-11-04,home,False,False,True,healthy,wind,24,18.2,1.7,1.5,0.3,1.9294313271407406,stable,0,-37.8,24,7,True
nfl,receiving_tds_under,2.4,davante_adams,Davante Adams,Las Vegas Raiders,Dallas Cowboys,2025-01-06,away,False,False,False,doubtful,clear,20,-12.2,0.3,2.0,0.4,2.1091379896115936,up,0,-25.8,81,7,False
nfl,receiving_tds_under,2.2,cooper_kupp,Cooper Kupp,Los Angeles Rams,New England Patriots,2024-12-15,home,True,False,False,healthy,clear,18,7.3,11.4,1.9,0.3,2.1961187121811596,down,0,-2.0,24,7,False
nfl,receiving_tds_over,2.4,davante_adams,Davante Adams,Las Vegas Raiders,Green Bay Packers,2025-08-12,home,False,False,False,questionable,rain,32,1.1,-1.0,2.0,0.4,1.919023048459412,down,0,-44.9,58,7,False
nfl,receiving_yards_under,108.3,davante_adams,Davante Adams,Las Vegas Raiders,Dallas Cowboys,2024-11-04,home,False,False,True,healthy,clear,16,80.2,79.3,93.9,14.4,1.7619529659531217,down,0,67.3,67,7,False
nfl,passing_tds_over,0.3,aaron_rodgers,Aaron Rodgers,Green Bay Packers,Baltimore Ravens,2024-11-26,home,True,False,True,doubtful,clear,4,-9.3,-4.5,0.4,-0.1,2.1621280202575903,stable,0,-5.4,56,7,False
nfl,passing_yards_over,215.8,lamar_jackson,Lamar Jackson,Baltimore Ravens,Las Vegas Raiders,2024-10-12,away,True,False,True,healthy,clear,4,219.7,224.1,229.1,-13.3,1.7608055499642956,up,1,233.9,49,7,False
nfl,passing_yards_under,219.8,aaron_rodgers,Aaron Rodgers,Green Bay Packers,Buffalo Bills,2025-05-23,home,False,False,False,questionable,clear,16,214.4,223.6,217.8,2.0,1.757281084668095,down,1,196.2,44,7,False
nfl,receiving_tds_under,1.6,travis_kelce,Travis Kelce,Kansas City Chiefs,Tennessee Titans,2025-08-19,home,False,False,False,healthy,snow,6,16.4,4.8,1.3,0.3,2.1239846820915194,stable,0,5.6,70,7,False
nfl,passing_yards_over,195.8,patrick_mahomes,Patrick Mahomes,Kansas City Chiefs,Las Vegas Raiders,2024-12-25,home,False,False,True,healthy,snow,8,182.8,202.2,201.7,-5.9,2.0257143254135306,down,0,164.1,62,7,False
nfl,passing_yards_under,178.3,aaron_rodgers,Aaron Rodgers,Green Bay Packers,Baltimore Ravens,2025-07-22,home,False,False,False,healthy,snow,18,194.1,194.9,201.2,-22.9,2.1544374267923163,stable,0,161.1,66,7,False
